		Lht1	Lfk1
14/03/2022	00:00:00	0	0
14/03/2022	00:00:12	0	0
14/03/2022	00:00:25	0	0
14/03/2022	00:00:38	0	0
14/03/2022	00:00:51	0	0
14/03/2022	00:01:04	0	0
14/03/2022	00:01:17	0	0
14/03/2022	00:01:30	0	0
14/03/2022	00:01:43	0	0
14/03/2022	00:01:56	0	0
14/03/2022	00:02:09	0	0
14/03/2022	00:02:22	0	0
14/03/2022	00:02:35	0	0
14/03/2022	00:02:48	0	0
14/03/2022	00:03:01	0	0
14/03/2022	00:03:14	0	0
14/03/2022	00:03:27	0	0
14/03/2022	00:03:40	0	0
14/03/2022	00:03:53	0	0
14/03/2022	00:04:06	0	0
14/03/2022	00:04:19	0	0
14/03/2022	00:04:32	0	0
14/03/2022	00:04:45	0	0
14/03/2022	00:04:58	0	0
14/03/2022	00:05:11	0	0
14/03/2022	00:05:24	0	0
14/03/2022	00:05:36	0	0
14/03/2022	00:05:49	0	0
14/03/2022	00:06:02	0	0
14/03/2022	00:06:15	0	0
14/03/2022	00:06:28	0	0
14/03/2022	00:06:41	0	0
14/03/2022	00:06:54	0	0
14/03/2022	00:07:07	0	0
14/03/2022	00:07:20	0	0
14/03/2022	00:07:33	0	0
14/03/2022	00:07:46	0	0
14/03/2022	00:07:59	0	0
14/03/2022	00:08:12	0	0
14/03/2022	00:08:25	0	0
14/03/2022	00:08:38	0	0
14/03/2022	00:08:51	0	0
14/03/2022	00:09:04	0	0
14/03/2022	00:09:17	0	0
14/03/2022	00:09:30	0	0
14/03/2022	00:09:43	0	0
14/03/2022	00:09:56	0	0
14/03/2022	00:10:09	0	0
14/03/2022	00:10:22	0	0
14/03/2022	00:10:35	0	0
14/03/2022	00:10:48	0	0
14/03/2022	00:11:00	0	0
14/03/2022	00:11:13	0	0
14/03/2022	00:11:26	0	0
14/03/2022	00:11:39	0	0
14/03/2022	00:11:52	0	0
14/03/2022	00:12:05	0	0
14/03/2022	00:12:18	0	0
14/03/2022	00:12:31	0	0
14/03/2022	00:12:44	0	0
14/03/2022	00:12:57	0	0
14/03/2022	00:13:10	0	0
14/03/2022	00:13:23	0	0
14/03/2022	00:13:36	0	0
14/03/2022	00:13:49	0	0
14/03/2022	00:14:02	0	0
14/03/2022	00:14:15	0	0
14/03/2022	00:14:28	0	0
14/03/2022	00:14:41	0	0
14/03/2022	00:14:54	0	0
14/03/2022	00:15:07	0	0
14/03/2022	00:15:20	0	0
14/03/2022	00:15:33	0	0
14/03/2022	00:15:46	0	0
14/03/2022	00:15:59	0	0
14/03/2022	00:16:12	0	0
14/03/2022	00:16:24	0	0
14/03/2022	00:16:37	0	0
14/03/2022	00:16:50	0	0
14/03/2022	00:17:03	0	0
14/03/2022	00:17:16	0	0
14/03/2022	00:17:29	0	0
14/03/2022	00:17:42	0	0
