f [MHz];Pin.(dBm);NI-dacq(Vdc)
61;8.01;3.467
61;0;0.918
61;-10.04;-2.221
61;-20.03;-5.276
61;-30.06;-8.34
61.50  ;7.98  ;3.426
61.50  ;-0.01  ;0.878
61.50  ;-10.03  ;-2.262
61.50  ;-20.02  ;-5.314
61.50  ;-30.05  ;-8.38
62.00  ;7.99  ;3.376
62.00  ;0.00  ;0.839
62.00  ;-10.03  ;-2.303
62.00  ;-20.03  ;-5.362
62.00  ;-30.05  ;-8.43
62.50  ;7.98  ;3.329
62.50  ;-0.01  ;0.796
62.50  ;-10.04  ;-2.347
62.50  ;-20.03  ;-5.402
62.50  ;-30.06  ;-8.470
63.00  ;7.98  ;3.270
63.00  ;0.00  ;0.744
63.00  ;-10.04  ;-2.402
63.00  ;-20.03  ;-5.457
63.00  ;-30.06  ;-8.53
